"","x"
"1739","4"
"1740","0"
"1741","1"
"1742","0"
"1743","1"
"1744","0"
"1745","0"
"1746","0"
"1747","0"
"1748","0"
"1749","3"
"1750","1"
"1751","4"
"1752","3"
"1753","1"
"1754","0"
"1755","0"
"1756","0"
"1757","1"
"1758","1"
"1759","3"
"1760","0"
"1761","1"
"1762","4"
"1763","2"
"1764","2"
"1765","1"
"1766","4"
"1767","0"
"1768","1"
"1769","3"
"1770","3"
"1771","4"
"1772","1"
"1773","0"
"1774","1"
"1775","1"
"1776","4"
"1777","0"
"1778","0"
"1779","1"
"1780","3"
"1781","0"
"1782","0"
"1783","3"
"1784","0"
"1785","4"
"1786","3"
"1787","4"
"1788","0"
"1789","2"
"1790","0"
"1791","1"
"1792","1"
"1793","0"
"1794","1"
"1795","2"
"1796","0"
"1797","1"
"1798","0"
"1799","0"
"1800","4"
"1801","0"
"1802","0"
"1803","1"
"1804","1"
"1805","0"
"1806","0"
"1807","3"
"1808","1"
"1809","2"
"1810","1"
"1811","0"
"1812","3"
"1813","0"
"1814","2"
"1815","3"
"1816","0"
"1817","0"
"1818","0"
"1819","0"
"1820","0"
"1821","2"
"1822","0"
"1823","4"
"1824","4"
"1825","0"
"1826","0"
"1827","1"
"1828","0"
"1829","0"
"1830","0"
"1831","0"
"1832","0"
"1833","0"
"1834","3"
"1835","1"
"1836","0"
"1837","1"
"1838","0"
"1839","2"
"1840","0"
"1841","2"
"1842","1"
"1843","1"
"1844","0"
"1845","1"
"1846","0"
"1847","1"
"1848","4"
"1849","2"
"1850","0"
"1851","1"
"1852","0"
"1853","0"
"1854","0"
"1855","1"
"1856","1"
"1857","0"
"1858","1"
"1859","1"
"1860","0"
"1861","0"
"1862","1"
"1863","0"
"1864","4"
"1865","2"
"1866","0"
"1867","0"
"1868","1"
"1869","4"
"1870","0"
"1871","1"
"1872","1"
"1873","0"
"1874","0"
"1875","1"
"1876","1"
"1877","0"
"1878","0"
"1879","0"
"1880","3"
"1881","0"
"1882","1"
"1883","0"
"1884","1"
"1885","3"
"1886","0"
"1887","1"
"1888","0"
"1889","4"
"1890","0"
"1891","0"
"1892","3"
"1893","0"
"1894","0"
"1895","0"
"1896","0"
"1897","0"
"1898","0"
"1899","0"
"1900","4"
"1901","0"
"1902","1"
"1903","1"
"1904","2"
"1905","0"
"1906","1"
"1907","0"
"1908","3"
"1909","4"
"1910","3"
"1911","0"
"1912","3"
"1913","1"
"1914","2"
"1915","2"
"1916","2"
"1917","0"
"1918","2"
"1919","0"
"1920","2"
"1921","2"
"1922","2"
"1923","1"
"1924","3"
"1925","0"
"1926","1"
"1927","0"
"1928","2"
"1929","0"
"1930","3"
"1931","0"
"1932","1"
"1933","0"
"1934","0"
"1935","0"
"1936","1"
"1937","0"
"1938","0"
"1939","2"
"1940","0"
"1941","1"
"1942","1"
"1943","0"
"1944","4"
"1945","1"
"1946","0"
"1947","1"
"1948","3"
"1949","0"
"1950","3"
"1951","1"
"1952","4"
"1953","4"
"1954","2"
"1955","3"
"1956","3"
"1957","0"
"1958","0"
"1959","0"
"1960","2"
"1961","2"
"1962","1"
"1963","0"
"1964","0"
"1965","3"
"1966","0"
"1967","0"
"1968","1"
"1969","2"
"1970","4"
"1971","1"
"1972","4"
"1973","1"
"1974","1"
"1975","0"
"1976","0"
"1977","0"
"1978","1"
"1979","4"
"1980","0"
"1981","1"
"1982","0"
"1983","2"
"1984","0"
"1985","0"
"1986","0"
"1987","3"
"1988","0"
"1989","4"
"1990","1"
"1991","3"
"1992","0"
"1993","1"
"1994","0"
"1995","3"
"1996","0"
"1997","1"
"1998","0"
"1999","1"
"2000","0"
"2001","4"
"2002","1"
"2003","1"
"2004","3"
"2005","0"
"2006","1"
"2007","0"
"2008","0"
"2009","0"
"2010","0"
"2011","0"
"2012","0"
"2013","0"
"2014","3"
"2015","3"
"2016","4"
"2017","1"
"2018","3"
"2019","0"
"2020","0"
"2021","0"
"2022","1"
"2023","2"
"2024","0"
"2025","2"
"2026","0"
"2027","3"
"2028","0"
"2029","2"
"2030","0"
"2031","1"
"2032","3"
"2033","1"
"2034","3"
"2035","1"
"2036","0"
"2037","3"
"2038","0"
"2039","4"
"2040","0"
"2041","0"
"2042","2"
"2043","1"
"2044","1"
"2045","3"
"2046","4"
"2047","1"
"2048","2"
"2049","2"
"2050","0"
"2051","3"
"2052","3"
"2053","0"
"2054","0"
"2055","2"
"2056","1"
"2057","1"
"2058","0"
"2059","3"
"2060","4"
"2061","1"
"2062","4"
"2063","1"
"2064","1"
"2065","3"
"2066","4"
"2067","2"
"2068","1"
"2069","0"
"2070","0"
"2071","2"
"2072","4"
"2073","0"
"2074","1"
"2075","0"
"2076","1"
"2077","1"
"2078","1"
"2079","0"
"2080","1"
"2081","4"
"2082","1"
"2083","1"
"2084","1"
"2085","0"
"2086","0"
"2087","3"
"2088","1"
"2089","0"
"2090","3"
"2091","0"
"2092","1"
"2093","2"
"2094","0"
"2095","0"
"2096","2"
"2097","1"
"2098","1"
"2099","1"
"2100","1"
"2101","1"
"2102","1"
"2103","0"
"2104","0"
"2105","0"
"2106","0"
"2107","0"
"2108","2"
"2109","2"
"2110","1"
"2111","0"
"2112","4"
"2113","1"
"2114","1"
"2115","3"
"2116","1"
"2117","1"
"2118","0"
"2119","0"
"2120","1"
"2121","3"
"2122","0"
"2123","1"
"2124","1"
"2125","1"
"2126","3"
"2127","3"
"2128","1"
"2129","0"
"2130","2"
"2131","1"
"2132","0"
"2133","0"
"2134","1"
"2135","0"
"2136","0"
"2137","4"
"2138","3"
"2139","1"
