cell    bio_celltype
Cell1546	Ductal - APOL high/hypoxic
Cell1547	Ductal - CRISP3 high/centroacinar like
Cell1548	Ductal - MHC Class II
Cell1549	Ductal - terminal ductal like
Cell155	Ductal - MHC Class II
Cell1550	Cancer clone B
Cell1551	Ductal - CRISP3 high/centroacinar like
Cell1552	Ductal - APOL high/hypoxic
Cell1553	Ductal - CRISP3 high/centroacinar like
Cell1554	Ductal - terminal ductal like
Cell1555	Ductal - CRISP3 high/centroacinar like
Cell1556	Ductal - MHC Class II
Cell1557	Ductal - terminal ductal like
Cell1558	Ductal - CRISP3 high/centroacinar like
Cell1559	Ductal - APOL high/hypoxic
Cell156	Ductal - CRISP3 high/centroacinar like
Cell1560	Ductal - CRISP3 high/centroacinar like
Cell1561	Ductal - MHC Class II
Cell1562	Ductal - CRISP3 high/centroacinar like
Cell1563	Mast cells
Cell1564	Cancer clone B
Cell1565	Ductal - APOL high/hypoxic
Cell1566	Ductal - MHC Class II
Cell1567	Ductal - terminal ductal like
Cell1568	Ductal - APOL high/hypoxic
Cell1569	Cancer clone A
Cell157	Ductal - CRISP3 high/centroacinar like
Cell1570	Cancer clone A
Cell1571	Ductal - CRISP3 high/centroacinar like
Cell1572	Ductal - CRISP3 high/centroacinar like
Cell1573	Ductal - MHC Class II
Cell1574	Ductal - MHC Class II
Cell1575	Tuft cells
Cell1576	Ductal - terminal ductal like
Cell1577	Cancer clone A
Cell1578	Ductal - MHC Class II
Cell1579	Cancer clone B
Cell158	Ductal - terminal ductal like
Cell1580	Cancer clone B
Cell1581	Ductal - APOL high/hypoxic
Cell1582	T cells & NK cells
Cell1583	Ductal - CRISP3 high/centroacinar like
Cell1584	Ductal - terminal ductal like
Cell1585	Cancer clone A
Cell1586	Mast cells
Cell1587	Ductal - APOL high/hypoxic
Cell1588	Ductal - APOL high/hypoxic
Cell1589	Ductal - MHC Class II
Cell159	Ductal - APOL high/hypoxic
Cell1590	Ductal - terminal ductal like
Cell1591	Macrophages A
Cell1592	Ductal - CRISP3 high/centroacinar like
Cell1593	Ductal - MHC Class II
Cell1594	Ductal - APOL high/hypoxic
Cell1595	Ductal - APOL high/hypoxic
Cell1596	Ductal - terminal ductal like
Cell1597	Ductal - CRISP3 high/centroacinar like
Cell1598	Cancer clone B
Cell1599	Endothelial cells
Cell16	Ductal - terminal ductal like
Cell160	Ductal - MHC Class II
Cell1600	Cancer clone A
Cell1601	Ductal - MHC Class II
Cell1602	Ductal - CRISP3 high/centroacinar like
Cell1603	Tuft cells
Cell1604	Tuft cells
Cell1605	Ductal - CRISP3 high/centroacinar like
Cell1606	Monocytes
Cell1607	Ductal - MHC Class II
Cell1608	Cancer clone B
Cell1609	Ductal - CRISP3 high/centroacinar like
Cell161	Cancer clone B
Cell1610	Ductal - terminal ductal like
Cell1611	Cancer clone B
Cell1612	mDCs B
Cell1613	Acinar cells
Cell1614	Ductal - CRISP3 high/centroacinar like
Cell1615	pDCs
Cell1616	Ductal - terminal ductal like
Cell1617	Ductal - CRISP3 high/centroacinar like
Cell1618	Ductal - MHC Class II
Cell1619	Cancer clone A
Cell162	Ductal - terminal ductal like
Cell1620	Ductal - CRISP3 high/centroacinar like
Cell1621	Ductal - terminal ductal like
Cell1622	Ductal - terminal ductal like
Cell1623	Ductal - CRISP3 high/centroacinar like
Cell1624	Ductal - CRISP3 high/centroacinar like
Cell1625	Ductal - APOL high/hypoxic
Cell1626	Ductal - APOL high/hypoxic
